id;class_name;level;jhi_group;niveau;filere
1;yuck utterly;woot past;G5;PermiereAnnee;BI
2;frantically;savings tightly yippee;G2;TroisiemeAnnee;IIA
3;admonish boldly;incidentally;G6;PermiereAnnee;IDSIT
4;cruelly;shrilly;G1;PermiereAnnee;IDF
5;poor aha;outgoing because;G5;DeusiemeAnnee;IDSIT
6;promote hm by;pasteurize burden anti;G4;DeusiemeAnnee;GD
7;divine gratefully;amongst merchandise where;G6;TroisiemeAnnee;GD
8;duh;consequently;G7;TroisiemeAnnee;IIA
9;murky;strum square a;G5;TroisiemeAnnee;SSCL
10;club meaty;beside attribute than;G4;PermiereAnnee;BI
